key_id;player_id;lastname;name;birth_date;goal_keeper;defender;midfielder;forward;count_tournaments;list_tournaments;player_wikipedia_link
16;P-01763;Abdollahi;Nasrollah;02/09/1951;0;1;0;0;1;1978;https://en.wikipedia.org/wiki/Nasrollah_Abdollahi
17;P-02876;Abdoun;Djamel;14/02/1986;0;0;1;0;1;2010;https://en.wikipedia.org/wiki/Djamel_Abdoun
18;P-04573;Abdulghani;Hussein;21/01/1977;0;1;0;0;2;2002, 2006;https://en.wikipedia.org/wiki/Hussein_Sulaimani
19;P-04135;Abdulghani;Hussein;23/01/1977;0;1;0;0;1;1998;https://en.wikipedia.org/wiki/Hussein_Abdulghani
20;P-01597;Abdullah;Majed;01/11/1959;0;0;0;1;1;1994;https://en.wikipedia.org/wiki/Majed_Abdullah
21;P-08180;Abdullahi;Shehu;12/03/1993;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Shehu_Abdullahi
22;P-00800;Abdulrahman;Fahad;10/10/1962;0;0;1;0;1;1990;https://en.wikipedia.org/wiki/Fahad_Abdulrahman
23;P-05270;Abe;Yuki;06/09/1981;0;0;1;0;1;2010;https://en.wikipedia.org/wiki/Yuki_Abe
24;P-08280;Abedzadeh;Ahmad Reza;25/05/1966;1;0;0;0;1;1998;https://en.wikipedia.org/wiki/Ahmad_Reza_Abedzadeh
25;P-04364;Abedzadeh;Amir;26/04/1993;1;0;0;0;1;2018;https://en.wikipedia.org/wiki/Amir_Abedzadeh
26;P-09062;Abega;Théophile;09/07/1954;0;0;1;0;1;1982;https://en.wikipedia.org/wiki/Th%C3%A9ophile_Abega
27;P-05367;Abegglen;André;07/03/1909;0;0;0;1;2;1934, 1938;https://en.wikipedia.org/wiki/Andr%C3%A9_Abegglen
28;P-01401;Abel;not applicable;01/09/1952;0;1;0;0;1;1978;https://en.wikipedia.org/wiki/Abel_Braga
29;P-08746;Abelardo;not applicable;19/03/1970;0;1;0;0;2;1994, 1998;https://en.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez
30;P-08688;Abeledo;Ramón;29/04/1937;0;0;1;0;1;1962;https://en.wikipedia.org/wiki/Ram%C3%B3n_Abeledo
31;P-01155;Abid;Anad;03/08/1955;0;0;0;1;1;1986;https://en.wikipedia.org/wiki/Anad_Abid
32;P-01210;Abidal;Eric;11/09/1979;0;1;0;0;2;2006, 2010;https://en.wikipedia.org/wiki/Eric_Abidal
33;P-06418;Ablanedo;Juan Carlos;02/09/1963;1;0;0;0;2;1986, 1990;https://en.wikipedia.org/wiki/Juan_Carlos_Ablanedo
34;P-03781;Abonyi;Attila;16/08/1946;0;0;0;1;1;1974;https://en.wikipedia.org/wiki/Attila_Abonyi
35;P-00061;Aboubakar;Vincent;22/01/1992;0;0;0;1;2;2010, 2014;https://en.wikipedia.org/wiki/Vincent_Aboubakar
36;P-05726;Abouzeid;Taher;10/04/1962;0;0;1;0;1;1990;https://en.wikipedia.org/wiki/Taher_Abouzeid
37;P-03821;Abrahamsson;Henock;29/10/1909;1;0;0;0;1;1938;https://en.wikipedia.org/wiki/Henock_Abrahamsson
38;P-03561;Abramczik;Rüdiger;18/02/1956;0;0;0;1;1;1978;https://en.wikipedia.org/wiki/R%C3%BCdiger_Abramczik
39;P-07032;Abrami;Lahcen;31/12/1969;0;1;0;0;1;1998;https://en.wikipedia.org/wiki/Lahcen_Abrami
40;P-01284;Abreu;Marco;08/12/1974;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Marco_Abreu
41;P-09248;Abreu;Sebastián;17/10/1976;0;0;0;1;2;2002, 2010;https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Abreu
42;P-02948;Acácio;not applicable;20/01/1959;1;0;0;0;1;1990;https://en.wikipedia.org/wiki/Ac%C3%A1cio_(footballer)
43;P-08293;Acasuzo;Eusebio;08/04/1952;1;0;0;0;1;1982;https://en.wikipedia.org/wiki/Eusebio_Acasuzo
44;P-03927;Aceros;Germán;30/09/1938;0;0;0;1;1;1962;https://en.wikipedia.org/wiki/Germ%C3%A1n_Aceros
45;P-00687;Aceval;Danilo;15/09/1975;1;0;0;0;1;1998;https://en.wikipedia.org/wiki/Danilo_Aceval
46;P-04924;Acevedo;David;20/02/1937;0;1;0;0;1;1958;https://en.wikipedia.org/wiki/David_Acevedo
47;P-08292;Acevedo;Eduardo Mario;25/09/1959;0;1;0;0;1;1986;https://en.wikipedia.org/wiki/Eduardo_Mario_Acevedo
48;P-00615;Acevedo;Elmer;24/02/1946;0;0;0;1;1;1970;https://en.wikipedia.org/wiki/Elmer_Acevedo
49;P-00263;Achá;Alberto;18/02/1917;0;1;0;0;1;1950;https://en.wikipedia.org/wiki/Alberto_Ach%C3%A1
50;P-04368;Achilier;Gabriel;24/03/1985;0;1;0;0;1;2014;https://en.wikipedia.org/wiki/Gabriel_Achilier
51;P-04394;Achúcarro;Ignacio;31/07/1936;0;1;0;0;1;1958;https://en.wikipedia.org/wiki/Ignacio_Ach%C3%BAcarro
52;P-09405;Aćimović;Jovan;21/06/1948;0;0;1;0;1;1974;https://en.wikipedia.org/wiki/Jovan_A%C4%87imovi%C4%87
53;P-00419;Ačimovič;Milenko;15/02/1977;0;0;0;1;1;2002;https://en.wikipedia.org/wiki/Milenko_A%C4%8Dimovi%C4%8D
54;P-01630;Acosta;Jhonny;21/07/1983;0;1;0;0;2;2014, 2018;https://en.wikipedia.org/wiki/Jhonny_Acosta
55;P-07165;Acquah;Afriyie;05/01/1992;0;0;1;0;1;2014;https://en.wikipedia.org/wiki/Afriyie_Acquah
56;P-07169;Acuña;Clarence;08/02/1975;0;0;1;0;1;1998;https://en.wikipedia.org/wiki/Clarence_Acu%C3%B1a
57;P-00912;Acuña;Juan;11/01/1923;1;0;0;0;1;1950;https://en.wikipedia.org/wiki/Juan_Acu%C3%B1a
58;P-05355;Acuña;Marcos;28/10/1991;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Marcos_Acu%C3%B1a
59;P-07815;Acuña;Roberto;25/03/1972;0;0;1;0;3;1998, 2002, 2006;https://en.wikipedia.org/wiki/Roberto_Acu%C3%B1a
60;P-05203;Adam;Glen;22/05/1959;0;1;0;0;1;1982;https://en.wikipedia.org/wiki/Glen_Adam
61;P-00659;Adamache;Stere;17/08/1941;1;0;0;0;1;1970;https://en.wikipedia.org/wiki/Stere_Adamache
62;P-03688;Adamec;Jozef;26/02/1942;0;0;0;1;2;1962, 1970;https://en.wikipedia.org/wiki/Jozef_Adamec
63;P-08988;Adams;Ferdinand;03/05/1903;0;0;0;1;1;1930;https://en.wikipedia.org/wiki/Ferdinand_Adams
64;P-06941;Adams;Stephen;28/09/1989;1;0;0;0;1;2014;https://en.wikipedia.org/wiki/Stephen_Adams_(footballer)
65;P-08896;Adams;Tony;10/10/1966;0;1;0;0;1;1998;https://en.wikipedia.org/wiki/Tony_Adams
66;P-07835;Adamson;Jimmy;04/04/1929;0;0;1;0;1;1962;https://en.wikipedia.org/wiki/Jimmy_Adamson
67;P-03870;Adãozinho;not applicable;02/04/1923;0;0;0;1;1;1950;https://en.wikipedia.org/wiki/Ad%C3%A3o_Nunes_Dornelles
68;P-00163;Addo;Eric;12/11/1978;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Eric_Addo
69;P-09971;Addo;Otto;09/06/1975;0;0;0;1;1;2006;https://en.wikipedia.org/wiki/Otto_Addo
70;P-08496;Addy;Lee;26/09/1985;0;1;0;0;1;2010;https://en.wikipedia.org/wiki/Lee_Addy
71;P-05661;Adebayor;Emmanuel;26/02/1984;0;0;0;1;1;2006;https://en.wikipedia.org/wiki/Emmanuel_Adebayor
72;P-06220;Adelardo;not applicable;26/09/1939;0;0;1;0;2;1962, 1966;https://en.wikipedia.org/wiki/Adelardo_Rodr%C3%ADguez
73;P-08351;Adeleye;Dele;25/12/1988;0;1;0;0;1;2010;https://en.wikipedia.org/wiki/Dele_Adeleye
74;P-04188;Ademir;not applicable;08/11/1922;0;0;0;1;1;1950;https://en.wikipedia.org/wiki/Ademir_Marques_de_Menezes
75;P-07662;Adepoju;Mutiu;22/12/1970;0;0;1;0;3;1994, 1998, 2002;https://en.wikipedia.org/wiki/Mutiu_Adepoju
76;P-00088;Adiyiah;Dominic;29/11/1989;0;0;0;1;1;2010;https://en.wikipedia.org/wiki/Dominic_Adiyiah
77;P-07070;Adjei;Sammy;01/09/1980;1;0;0;0;1;2006;https://en.wikipedia.org/wiki/Sammy_Adjei
78;P-02968;Ado;not applicable;04/07/1946;1;0;0;0;1;1970;https://en.wikipedia.org/wiki/Ado_(footballer)
79;P-05758;Adomah;Albert;13/12/1987;0;0;1;0;1;2014;https://en.wikipedia.org/wiki/Albert_Adomah
80;P-08367;Adriano;not applicable;17/02/1982;0;0;0;1;1;2006;https://en.wikipedia.org/wiki/Adriano_(footballer,_born_1982)
81;P-08418;Advíncula;Luis;02/03/1990;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Luis_Adv%C3%ADncula
82;P-09079;Aeby;Georges;10/09/1910;0;0;0;1;1;1938;https://en.wikipedia.org/wiki/Georges_Aeby
83;P-00906;Aeby;Paul;10/09/1910;0;0;0;1;1;1938;https://en.wikipedia.org/wiki/Paul_Aeby
84;P-02560;Afellay;Ibrahim;02/04/1986;0;0;1;0;1;2010;https://en.wikipedia.org/wiki/Ibrahim_Afellay
85;P-07574;Afful;Harrison;24/06/1986;0;1;0;0;1;2014;https://en.wikipedia.org/wiki/Harrison_Afful
86;P-02686;Afolabi;Rabiu;18/04/1980;0;1;0;0;2;2002, 2010;https://en.wikipedia.org/wiki/Rabiu_Afolabi
87;P-05721;Afonin;Valentin;22/12/1939;0;1;1;0;2;1966, 1970;https://en.wikipedia.org/wiki/Valentin_Afonin
88;P-08254;Afonsinho;not applicable;08/03/1914;0;0;1;0;1;1938;https://en.wikipedia.org/wiki/Afonsinho_(footballer,_born_1914)
89;P-05991;Agassa;Kossi;02/07/1978;1;0;0;0;1;2006;https://en.wikipedia.org/wiki/Kossi_Agassa
90;P-09211;Agbim;Chigozie;28/11/1984;1;0;0;0;1;2014;https://en.wikipedia.org/wiki/Chigozie_Agbim
91;P-07029;Agbo;Hans;26/09/1967;0;1;0;0;1;1994;https://en.wikipedia.org/wiki/Hans_Agbo
92;P-07762;Agboh;Kuami;28/12/1977;0;0;1;0;1;2006;https://en.wikipedia.org/wiki/Kuami_Agboh
93;P-05233;Agbonavbare;Wilfred;05/10/1966;1;0;0;0;1;1994;https://en.wikipedia.org/wiki/Wilfred_Agbonavbare
94;P-08906;Agger;Daniel;12/12/1984;0;1;0;0;1;2010;https://en.wikipedia.org/wiki/Daniel_Agger
95;P-04240;Aghahowa;Julius;12/02/1982;0;0;0;1;1;2002;https://en.wikipedia.org/wiki/Julius_Aghahowa
96;P-07349;Agoos;Jeff;02/05/1968;0;1;0;0;2;1998, 2002;https://en.wikipedia.org/wiki/Jeff_Agoos
97;P-03564;Agrebi;Hamadi;20/03/1951;0;0;1;0;1;1978;https://en.wikipedia.org/wiki/Mohamed_Ben_Rehaiem
98;P-03208;Agu;Alloysius;12/07/1967;1;0;0;0;1;1994;https://en.wikipedia.org/wiki/Alloysius_Agu
99;P-00354;Águas;Rui;28/04/1960;0;0;0;1;1;1986;https://en.wikipedia.org/wiki/Rui_%C3%81guas_(footballer)
100;P-09997;Agüero;Juan Bautista;24/06/1935;0;0;0;1;1;1958;https://en.wikipedia.org/wiki/Juan_Bautista_Ag%C3%BCero
101;P-01157;Agüero;Sergio;02/06/1988;0;0;0;1;3;2010, 2014, 2018;https://en.wikipedia.org/wiki/Sergio_Ag%C3%BCero
102;P-09009;Aguilar;Abel;06/01/1985;0;0;1;0;2;2014, 2018;https://en.wikipedia.org/wiki/Abel_Aguilar
103;P-08992;Aguilar;Paul;06/03/1986;0;1;0;0;2;2010, 2014;https://en.wikipedia.org/wiki/Paul_Aguilar
104;P-07137;Aguilar;Samuel;16/03/1933;1;0;0;0;1;1958;https://en.wikipedia.org/wiki/Samuel_Aguilar
105;P-07757;Aguilera;Carlos;21/09/1964;0;0;0;1;2;1986, 1990;https://en.wikipedia.org/wiki/Carlos_Aguilera_(Uruguayan_footballer)
106;P-09611;Aguilera;Carlos;22/05/1969;0;1;0;0;1;1998;https://en.wikipedia.org/wiki/Carlos_Aguilera_(Spanish_footballer)
107;P-05744;Aguilera;Edgar;28/07/1975;0;1;0;0;1;1998;https://en.wikipedia.org/wiki/Edgar_Aguilera
108;P-00815;Aguilera;Juan;23/10/1903;0;0;0;1;1;1930;https://en.wikipedia.org/wiki/Juan_Aguilera_(Chilean_footballer)
109;P-08649;Aguilera;Oscar;11/03/1935;0;0;0;1;1;1958;https://en.wikipedia.org/wiki/Oscar_Aguilera
110;P-05308;Aguinaga;Álex;09/07/1968;0;0;1;0;1;2002;https://en.wikipedia.org/wiki/%C3%81lex_Aguinaga
111;P-00053;Aguirre;Francisco;not available;0;0;1;0;1;1930;https://en.wikipedia.org/wiki/Francisco_Aguirre_(Paraguayan_footballer)
112;P-05703;Aguirre;Javier;01/12/1958;0;0;1;0;1;1986;https://en.wikipedia.org/wiki/Javier_Aguirre
113;P-03329;Agyei;Daniel;10/11/1989;1;0;0;0;1;2010;https://en.wikipedia.org/wiki/Daniel_Agyei
114;P-04018;Agyemang-Badu;Emmanuel;02/12/1990;0;0;1;0;1;2014;https://en.wikipedia.org/wiki/Emmanuel_Agyemang-Badu
115;P-00513;Ahlström;Thomas;17/07/1952;0;0;1;0;1;1974;https://en.wikipedia.org/wiki/Thomas_Ahlstr%C3%B6m
116;P-04700;Åhlund;Olle;22/08/1920;0;0;1;0;1;1950;https://en.wikipedia.org/wiki/Olle_%C3%85hlund
117;P-04020;Ahmadi;Rahman;30/07/1980;1;0;0;0;1;2014;https://en.wikipedia.org/wiki/Rahman_Ahmadi
118;P-00980;Åhman;Ronald;31/01/1957;0;0;1;0;1;1978;https://en.wikipedia.org/wiki/Ronald_%C3%85hman
119;P-02885;Ahmed;Issah;24/05/1982;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Issah_Gabriel_Ahmed
120;P-07103;Ahn;Jung-hwan;27/01/1976;0;0;0;1;3;2002, 2006, 2010;https://en.wikipedia.org/wiki/Ahn_Jung-hwan
121;P-04538;Ahorlu;Stephen;05/09/1988;1;0;0;0;1;2010;https://en.wikipedia.org/wiki/Stephen_Ahorlu
122;P-01444;Ahumada;Sergio;02/10/1948;0;0;0;1;1;1974;https://en.wikipedia.org/wiki/Sergio_Ahumada
123;P-05481;Aigner;Ernst;31/10/1966;0;1;0;0;1;1990;https://en.wikipedia.org/wiki/Ernst_Aigner
124;P-08308;Aimar;Pablo;03/11/1979;0;0;1;0;2;2002, 2006;https://en.wikipedia.org/wiki/Pablo_Aimar
125;P-00834;Aird;Jock;18/02/1926;0;1;0;0;1;1954;https://en.wikipedia.org/wiki/Jock_Aird
126;P-00577;Airosa;Marco;06/08/1984;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Marco_Airosa
127;P-01832;Aït Bennasser;Youssef;07/07/1996;0;0;1;0;1;2018;https://en.wikipedia.org/wiki/Youssef_A%C3%AFt_Bennasser
128;P-04735;Aitken;Roy;24/11/1958;0;1;0;0;2;1986, 1990;https://en.wikipedia.org/wiki/Roy_Aitken
129;P-04960;Aiyenugba;Dele;20/11/1983;1;0;0;0;1;2010;https://en.wikipedia.org/wiki/Dele_Aiyenugba
130;P-04983;Akalé;Kanga;07/03/1981;0;0;1;0;1;2006;https://en.wikipedia.org/wiki/Kanga_Akal%C3%A9
131;P-07871;Akanji;Manuel;19/07/1995;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Manuel_Akanji
132;P-01613;Akgün;Kaçmaz;19/02/1935;0;1;0;0;1;1954;https://en.wikipedia.org/wiki/Ka%C3%A7maz_Akg%C3%BCn
133;P-04144;Akid;Mohamed;05/07/1949;0;0;0;1;1;1978;https://en.wikipedia.org/wiki/Mohamed_Akid
134;P-09250;Akinfeev;Igor;08/04/1986;1;0;0;0;2;2014, 2018;https://en.wikipedia.org/wiki/Igor_Akinfeev
135;P-03016;Akita;Yutaka;06/08/1970;0;1;0;0;2;1998, 2002;https://en.wikipedia.org/wiki/Yutaka_Akita
136;P-00505;Akoto;Eric;20/07/1980;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Eric_Akoto
137;P-05826;Akpa Akpro;Jean-Daniel;11/10/1992;0;1;0;0;1;2014;https://en.wikipedia.org/wiki/Jean-Daniel_Akpa_Akpro
138;P-04202;Akpeyi;Daniel;08/03/1986;1;0;0;0;1;2018;https://en.wikipedia.org/wiki/Daniel_Akpeyi
139;P-01221;Akwá;not applicable;30/05/1977;0;0;0;1;1;2006;https://en.wikipedia.org/wiki/Akw%C3%A1
140;P-09578;Akwuegbu;Benedict;03/11/1974;0;0;0;1;1;2002;https://en.wikipedia.org/wiki/Benedict_Akwuegbu
141;P-04956;Akyel;Fatih;26/12/1977;0;1;0;0;1;2002;https://en.wikipedia.org/wiki/Fatih_Akyel
142;P-05015;Al-Anazi;Awad;24/09/1968;0;1;0;0;1;1994;https://en.wikipedia.org/wiki/Awad_Al-Anazi
143;P-00675;Al-Anberi;Abdulaziz;03/01/1954;0;0;0;1;1;1982;https://en.wikipedia.org/wiki/Abdulaziz_Al-Anberi
144;P-03161;Al-Antaif;Tisir;16/02/1974;1;0;0;0;1;1998;https://en.wikipedia.org/wiki/Tisir_Al-Antaif
145;P-02263;Al-Bahri;Ahmed;18/09/1980;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Ahmed_Al-Bahri
146;P-09175;Al-Bishi;Fahad;10/09/1965;0;0;1;0;1;1994;https://en.wikipedia.org/wiki/Fahad_Al-Bishi
147;P-09501;Al-Bishi;Mohamed;03/05/1987;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Mohamed_Al-Bishi
148;P-08579;Al-Breik;Mohammed;15/09/1992;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Mohammed_Al-Breik
149;P-05231;Al-Bulaihi;Ali;21/11/1989;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Ali_Al-Bulaihi
150;P-09837;Al-Buloushi;Abdulaziz;04/12/1962;0;0;0;1;1;1982;https://en.wikipedia.org/wiki/Abdulaziz_Al-Buloushi
151;P-01258;Al-Buloushi;Abdullah;16/02/1960;0;0;0;1;1;1982;https://en.wikipedia.org/wiki/Abdullah_Al-Buloushi
152;P-06167;Al-Dakhil;Faisal;13/08/1957;0;0;0;1;1;1982;https://en.wikipedia.org/wiki/Faisal_Al-Dakhil
153;P-06282;Al-Dawod;Saleh;24/09/1968;0;1;0;0;1;1994;https://en.wikipedia.org/wiki/Saleh_Al-Dawod
154;P-03366;Al-Dawsari;Salem;19/08/1991;0;0;1;0;1;2018;https://en.wikipedia.org/wiki/Salem_Al-Dawsari
155;P-04050;Al-Deayea;Mohamed;02/08/1972;1;0;0;0;4;1994, 1998, 2002, 2006;https://en.wikipedia.org/wiki/Mohamed_Al-Deayea
156;P-05688;Al-Dokhi;Ahmed;25/10/1976;0;1;0;0;3;1998, 2002, 2006;https://en.wikipedia.org/wiki/Ahmed_Dokhi
157;P-09471;Al-Dosari;Abdullah;01/11/1969;0;1;0;0;1;1994;https://en.wikipedia.org/wiki/Abdullah_Al-Dosari
158;P-03206;Al-Dosari;Khamis;08/09/1973;0;0;1;0;2;1998, 2002;https://en.wikipedia.org/wiki/Khamis_Al-Dosari
159;P-09549;Al-Dosari;Obeid;02/10/1975;0;0;0;1;2;1998, 2002;https://en.wikipedia.org/wiki/Obeid_Al-Dosari
160;P-09480;Al-Faraj;Salman;01/08/1989;0;0;1;0;1;2018;https://en.wikipedia.org/wiki/Salman_Al-Faraj
161;P-08320;Al-Ghamdi;Omar;11/04/1979;0;0;1;0;2;2002, 2006;https://en.wikipedia.org/wiki/Omar_Al-Ghamdi
162;P-07084;Al-Ghanim;Nassir;04/04/1961;0;0;1;0;1;1982;https://en.wikipedia.org/wiki/Nassir_Al-Ghanim
163;P-03557;Al-Ghesheyan;Fahad;01/08/1973;0;0;0;1;1;1994;https://en.wikipedia.org/wiki/Fahad_Al-Ghesheyan
164;P-02915;Al-Haddad;Abdulrahman;23/03/1966;0;1;0;0;1;1990;https://en.wikipedia.org/wiki/Abdulrahman_Al-Haddad
165;P-07593;Al-Haddad;Muayad;01/01/1960;0;0;0;1;1;1982;https://en.wikipedia.org/wiki/Muayad_Al-Haddad
166;P-00025;Al-Harbi;Ibrahim;10/07/1975;0;0;1;0;1;1998;https://en.wikipedia.org/wiki/Ibrahim_Al-Harbi
167;P-04969;Al-Harbi;Mansoor;19/10/1987;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Mansoor_Al-Harbi_(footballer,_born_1987)
168;P-09391;Al-Harthi;Mohsin;17/07/1976;0;1;0;0;1;2002;https://en.wikipedia.org/wiki/Mohsin_al-Harthi
169;P-09727;Al-Harthi;Saad;03/02/1984;0;0;0;1;1;2006;https://en.wikipedia.org/wiki/Saad_Al-Harthi
170;P-02626;Al-Hashash;Sami;15/09/1959;0;1;0;0;1;1982;https://en.wikipedia.org/wiki/Sami_Al-Hashash
171;P-05225;Al-Helwah;Ibrahim;18/08/1972;1;0;0;0;1;1994;https://en.wikipedia.org/wiki/Ibrahim_Al-Helwah
172;P-03274;Al-Houti;Saad;24/05/1954;0;0;1;0;1;1982;https://en.wikipedia.org/wiki/Saad_Al-Houti
173;P-06162;Al-Jaber;Sami;11/12/1972;0;0;0;1;4;1994, 1998, 2002, 2006;https://en.wikipedia.org/wiki/Sami_Al-Jaber
174;P-04801;Al-Jahani;Mohammed;28/09/1974;0;1;0;0;2;1998, 2002;https://en.wikipedia.org/wiki/Mohammed_Al-Jahani
175;P-07894;Al-Janoubi;Abdulaziz;21/07/1974;0;1;0;0;1;1998;https://en.wikipedia.org/wiki/Abdulaziz_Al-Janoubi
176;P-05558;Al-Jasem;Waleed;18/11/1959;0;1;0;0;1;1982;https://en.wikipedia.org/wiki/Waleed_Al-Jasem
177;P-00541;Al-Jassim;Taisir;25/07/1984;0;0;1;0;1;2018;https://en.wikipedia.org/wiki/Taisir_Al-Jassim
178;P-03607;Al-Jumaan;Abdullah;10/11/1977;0;0;0;1;1;2002;https://en.wikipedia.org/wiki/Abdullah_Al-Jumaan
179;P-04959;Al-Khaibari;Abdullah;16/08/1996;0;0;1;0;1;2018;https://en.wikipedia.org/wiki/Abdullah_Al-Khaibari
180;P-06268;Al-Khaibri;Abdulmalek;13/03/1986;0;0;1;0;1;2018;https://en.wikipedia.org/wiki/Abdulmalek_Al-Khaibri
181;P-00947;Al-Khathran;Abdulaziz;31/07/1973;0;1;1;0;2;2002, 2006;https://en.wikipedia.org/wiki/Abdulaziz_Khathran
182;P-04851;Al-Khilaiwi;Mohammed;21/08/1971;0;1;0;0;2;1994, 1998;https://en.wikipedia.org/wiki/Mohammed_Al-Khilaiwi
183;P-06195;Al-Khojali;Mohammed;15/01/1973;1;0;0;0;1;2002;https://en.wikipedia.org/wiki/Mohammed_Al-Khojali
184;P-00154;Al-Mayouf;Abdullah;23/01/1987;1;0;0;0;1;2018;https://en.wikipedia.org/wiki/Abdullah_Al-Mayouf
185;P-00948;Al-Mehallel;Fahad;11/11/1970;0;0;0;1;2;1994, 1998;https://en.wikipedia.org/wiki/Fahad_Al-Mehallel
186;P-03533;Al-Mogahwi;Housain;24/03/1988;0;0;1;0;1;2018;https://en.wikipedia.org/wiki/Housain_Al-Mogahwi
187;P-00596;Al-Montashari;Hamad;22/06/1982;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Hamad_Al-Montashari
188;P-05438;Al-Mosailem;Yasser;27/02/1984;1;0;0;0;1;2018;https://en.wikipedia.org/wiki/Yasser_Al-Mosailem
189;P-07552;Al-Muwallad;Fahad;14/09/1994;0;0;0;1;1;2018;https://en.wikipedia.org/wiki/Fahad_Al-Muwallad
190;P-01912;Al-Muwallid;Khalid;23/11/1971;0;0;1;0;2;1994, 1998;https://en.wikipedia.org/wiki/Khaled_Al-Muwallid
191;P-03228;Al-Owairan;Saeed;19/08/1967;0;0;1;1;2;1994, 1998;https://en.wikipedia.org/wiki/Saeed_Al-Owairan
192;P-07471;Al-Owais;Mohammed;10/10/1991;1;0;0;0;1;2018;https://en.wikipedia.org/wiki/Mohammed_Al-Owais
193;P-01126;Al-Qabendi;Jamal;07/04/1959;0;1;0;0;1;1982;https://en.wikipedia.org/wiki/Jamal_Al-Qabendi
194;P-00776;Al-Qadi;Naif;03/04/1979;0;1;0;0;1;2006;https://en.wikipedia.org/wiki/Naif_Al-Qadi
195;P-05687;Al-Qahtani;Yasser;10/10/1982;0;0;0;1;1;2006;https://en.wikipedia.org/wiki/Yasser_Al-Qahtani
196;P-00001;Al-Sadiq;Hussein;15/10/1973;1;0;0;0;2;1994, 1998;https://en.wikipedia.org/wiki/Hussein_Al-Sadiq
197;P-07744;Al-Sahlawi;Mohammad;10/01/1987;0;0;0;1;1;2018;https://en.wikipedia.org/wiki/Mohammad_Al-Sahlawi
198;P-00320;Al-Shahrani;Ibrahim;21/07/1974;0;0;1;1;2;1998, 2002;https://en.wikipedia.org/wiki/Ibrahim_Al-Shahrani
199;P-00932;Al-Shahrani;Yasser;25/05/1992;0;1;0;0;1;2018;https://en.wikipedia.org/wiki/Yasser_Al-Shahrani
200;P-08380;Al-Shalhoub;Mohammad;08/12/1980;0;0;1;0;2;2002, 2006;https://en.wikipedia.org/wiki/Mohammad_Al-Shalhoub
